qID1	sentence1	option11	option12	answer1	qID2	sentence2	option21	option22	answer2
wsc0	The city councilmen refused the demonstrators a permit because _ feared violence.	The city councilmen	The demonstrators	1	wsc1	The city councilmen refused the demonstrators a permit because _ advocated violence.	The city councilmen	The demonstrators	2
wsc2	The trophy doesn't fit into the brown suitcase because _ is too large.	the trophy	the suitcase	1	wsc3	The trophy doesn't fit into the brown suitcase because _ is too small.	the trophy	the suitcase	2
wsc4	Joan made sure to thank Susan for all the help _ had recieved.	Joan	Susan	1	wsc5	Joan made sure to thank Susan for all the help _ had given.	Joan	Susan	2
wsc6	Paul tried to call George on the phone, but _ wasn't successful.	Paul	George	1	wsc7	Paul tried to call George on the phone, but _ wasn't available.	Paul	George	2
wsc8	The lawyer asked the witness a question, but _ was reluctant to repeat it.	the lawyer	the witness	1	wsc9	The lawyer asked the witness a question, but _ was reluctant to answer it.	the lawyer	the witness	2
wsc10	The delivery truck zoomed by the school bus because _ was going so fast.	the delivery truck	the school bus	1	wsc11	The delivery truck zoomed by the school bus because _ was going so slow.	the delivery truck	the school bus	2
wsc12	Frank felt vindicated when his longtime rival Bill revealed that _ was the winner of the competition.	Frank	Bill	1	wsc13	Frank felt crushed when his longtime rival Bill revealed that _ was the winner of the competition.	Frank	Bill	2
wsc14	The man couldn't lift his son because _ was so weak.	The man	The son	1	wsc15	The man couldn't lift his son because _ was so heavy.	The man	The son	2
wsc16	The large ball crashed right through the table because _ was made of steel.	The large ball	The table	1	wsc17	The large ball crashed right through the table because _ was made of styrofoam.	The large ball	The table	2
wsc18	John couldn't see the stage with Billy in front of him because _ is so short.	John	Billy	1	wsc19	John couldn't see the stage with Billy in front of him because _ is so tall.	John	Billy	2
wsc20	Tom threw his schoolbag down to Ray after _ reached the top of the stairs.	Tom	Ray	1	wsc21	Tom threw his schoolbag down to Ray after _ reached the bottom of the stairs.	Tom	Ray	2
wsc22	Although they ran at about the same speed, Sue beat Sally because _ had such a good start.	Sue	Sally	1	wsc23	Although they ran at about the same speed, Sue beat Sally because _ had such a bad start.	Sue	Sally	2
wsc24	The sculpture rolled off the shelf because _ wasn't anchored.	The sculpture	The shelf	1	wsc25	The sculpture rolled off the shelf because _ wasn't level.	The sculpture	The shelf	2
wsc26	Sam's drawing was hung just above Tina's and _ did look much better with another one below it.	Sam's drawing	Tina's drawing	1	wsc27	Sam's drawing was hung just above Tina's and _ did look much better with another one above it.	Sam's drawing	Tina's drawing	2
